0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
COI,Habitat,Morphometrics,Phylogeny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age related macular degeneration,Curcumin,Curcumin diethyl disuccinate,Oxidative stress,Retinal pigment epithelium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMPK,CFTR,Chalcone,Chloride secretion,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
community child health,epidemiology,nutrition,public health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGI-S,GAD,Outpatient,PQSI,Psychiatry,Quality of sleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45-degree test,Dacryocystorhinostomy,Nasolacrimal duct obstruction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetes mellitus,Health education,Health literacy,Health promotion,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti-diabetic,Antioxidant,East kalimantan,Free radical scavenging,α-glucosidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avian orthoavulavirus 13,Genetic relationships,HN gene,Migratory waterfowl,Trailer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacterial cellulose,Biodegradable polymers,Natural rubber,Reinforcing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health-related quality of life,Quit smoking,Smoking cessation,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antimicrobial activity,diversity,endophytic actinomycetes,plant roots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,Encoding model,FMRI,Intraparietal sulcus,MVPA,Vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hadron-Hadron scattering (experiments),Higgs physics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drug-drug interactions,feminizing hormone,pre-exposure prophylaxis,prevention,transgender women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICTV Report,Nimaviridae,Taxonomy,White spot syndrome virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,effective dose,ionizing radiation,kidney stones,low-dose CT,radiation dose limit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cerebellum,cerebral amyloid angiopathy,cerebral hemorrhage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biodiesel,Cocoa butter,Intracellular lipid,Rhodotorula sphaerocarpa,Saitozyma podzolica,Yeast oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breast cancer,Postmastectomy,Quality of life,Uncertainty Management Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction waste,Construction waste factors,Relative important index,Sustainability,Waste management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decision making,logic,service composition,service selection,service workflow,service-oriented computing (SOC),services,specification languages,specification patterns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomass,Lipid,Microalgae,Photosynthetic pigments,Ultrasound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-analysis,Mortality,Systematic review,Transcatheter aortic valve replacement,Tricuspid regurgitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-reactive protein,Differential pulse voltammetry,Gold nanoparticles,Paper-based analytical devices,Phosphorylcholine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earthworm,Phylogeography,Pontodrilus longissimus,Population structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cadaver,Iliac vein anatomy,Pelvic exenteration,Presacral area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
continental population groups,kidney calculi,quality of life,socioeconomic factors,unemployment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dark volatility,GARCH,spinor field,Volatility clustering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Continental Island,East Asia,Microhyla,phylogeography,relict lineage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
human papillomavirus,oropharyngeal,tumour-infiltrating lymphocytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AE,Drug,IBD,α4β7 Integrin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjuvant Chemotherapy,Chemoradiotherapy,Concurrent,Uterine Cervical Neoplasm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARC,Acute decompensation,Alcoholic liver disease,ALF,Chronic liver disease,Cirrhosis,Decompensation,Jaundice,Liver failure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body mass,Cave,Forearm length,Insectivorous bat,Larger male,Rainfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comparison,Infection,Inflammation,Intestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cervical cancer screening,Clinician-collected HPV testing,Correlation,Self-collected HPV DNA testing,Self-sampling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat,computed tomography,kidney,morphology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genetic algorithm,Heuristics,Multi-echelon inventory systems,Periodic review,Seasonal demand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cell migration,dental pulp,iloprost,matrix metalloproteinase 9,prostacyclin analog,wound healing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphiphile molecules,Anionic surfactants,Group-contribution model,Krafft point,Property prediction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children,Diameter,Magnetic resonance imaging,Optic nerve,Optic nerve sheath,Visual development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adiponectin,Cytokines,Inflammation,Psoriasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grade recommendation,guideline,level of evidence,urolithiasis,Urological Association of Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case report,Duchenne muscular dystrophy,Pediatric,Recurrent takotsubo syndrome,Takotsubo syndrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-hydroxy-2′-deoxyguanosine,Biliary atresia,Biomarker,Mitochondrial DNA copy number,Relative telomere length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canine parvovirus,characterization,detection,emergence,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorimetric sensor,Naked eye,Paper-based analytical devices,Phosphate ions,Silver nanoplates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analytic hierarchy process (AHP),Bangkok Metropolitan Administration (BMA),Flood,Multi-criteria decision analysis (MCDA),Municipal solid waste management (MSWM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endogenous viral elements,EVE,Mendelian inheritance,White spot syndrome virus,WSSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
convolutional neural network,Grothendieck topology,HIV,Laurent polynomial,Nahm equation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blow-up solutions,Fujita exponent,Global solutions,Nonlocal equations,Pseudoparabolic equations,Unbounded coefficient,Weighted Lpestimates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic drugs,Biological fluids,Dispersive liquid–liquid microextraction,Gel electromembrane extraction,Green-based extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anti-inflammatory,dose-response relationship,intranasal surgery,Macrolides,nasal polyps,sinusitis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freezing stress,Kluyveromyces marxianus,Stigmasterol,Survival rate,Thermotolerant yeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adhesive resin,Bond strength,Cleansing agent,Contaminated surface,Zirconia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alcohol consumption,Buddhist Lent,community-based intervention,national campaign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immune,Inflammation,Kynurenine,Natural IgM autoimmune,Oxidative stress,Psychosis,Schizophrenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemokines,Cytokines,Inflammation,Meta-analysis,Obsessive-compulsive disorder,Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance performance,Older women,Thai traditional dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blending,Core–shell,Natural rubber,Poly(methyl methacrylate),Toughening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Probabilistic analysis,Random field,Root cohesion,Slope stability,Vegetation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Class a operator,Normality,Tensor product,Tracy-singh product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep Learning,Diagnosis,Machine learning,Medical record,Text classification,Word embedding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attitude,Dermatology,Skin aging assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pattern recognition,cluster finding,calibration and fitting methods,Performance of high energy physics detectors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antimicrobial usage,Chicken farm,Low- and middle-income country,naïve Bayes model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic libraries,Innovation,Knowledge management,Organizational transformation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appearance-based classification,Object detection,Partially occluded pedestrian detection,Pedestrian detection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low vision,Mobility,Smart lighting,Visual aid,Visual enhancement,Visual impairment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critically ill patients,Pharmacodynamics,Piperacillin,Population pharmacokinetics,Sepsis,β-Lactams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bioleaching,Cellulosimicrobium funkei,Electronic waste,Gallium,Gallium arsenide,Semiconductor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chitosan/alginate nanoparticles,Curcumin diethyl diglutarate,Stability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angina,Chronic conditions,Depression,Older adults,Risk factors,WHO-SAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image quality,Multiparametric MRI,Prostate cancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC sputtering,Flexible bismuth telluride,sputtering power,thermoelectric thin film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bread,Hom Mali rice,Physicochemical properties,Predicted glycemic index,Riceberry rice,Starch hydrolysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autoimmune disease,Immunosuppressive therapy,Indocyanine green angiography,Sunset glow fundus,Therapeutic window of opportunity stromal choroiditis,Vogt–Koyanagi–Harada disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coping,Elderly survivors,Impact,Self-care,Tsunami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigen,Clinical isolates,Epitope,Malaria,Plasmodium vivax,PvMSP-7,Transcriptomics,Vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capsid distribution,capsid trafficking,giant phage,nuclear rotation,phage nucleus,PhuZ,Pseudomonas phage,treadmilling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
galaxies evolution,galaxies high-redshift,galaxies star formation,submillimeter galaxies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS,Diphoton,Higgs,Physics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS,Higgs,Invisible decays,Physics,VBF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contaminated soil,heavy metals,phytoremediation,vetiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biodegradability,morphology,PBAT,physical properties,PLA,wollastonite,wood fiber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injury,Pain,Quality of life,Trauma outcome profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azithromycin,Doxycycline,Meibomian gland dysfunction,Meibum quality,Ocular surface disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allergy,arthritis,asthma,diabetes,Oral tolerance,regulatory T cell,transgenic plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial microbiome,Metabolic engineering,Soy sauce,Synthetic biology,Synthetic microbial communities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessibility,Adequacy,Public accountability,Public sector reporting,Reliability,Timeliness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amidoxime,radiation curing,seawater,Uranium extraction,UV-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cataract surgery,glaucoma,Gonioscopy,intraocular pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biofuels,Dimethyl ether,Extraction,Optimization,Response surface,Rubber seed oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calaxanthones A-C,Calophyllum calaba,cytotoxicity,xanthone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calcium,Colorimetric analysis,Gold nanoparticles,Modified gold nanoparticles,Transparency sheet-based device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance exercise,Foam bead bag,Foam pad,Somatosensory perturbation,Unstable surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dog,Phenobarbital,Salivary gland,Sialadenosis,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antral follicle,ECG,Endangered,Gamete rescue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armigeres subalbatus,Blood meal,Mosquito,Multiplex PCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perception,Social power,Water conflict,Water shortage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propagation,Social network visualization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult,Clinical protocols,Female,Gestational trophoblastic disease,Hydatidiform mole,Hysterectomy,Invasive mole,Pregnancy,Treatment outcome,Trophoblastic neoplasms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IEC 61850,smart grid,Software defined networking,wide area networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building energy management systems (BEMS),gateway,IEEE1888,IoTcloudServe@TEIN,open data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CU depth estimation,genetic algorithm,HEVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
depression,senior users,virtual reality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
assessment methods,image enhancement,low light,underwater images,underwater imaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
convolution neural network,facial occlusion recognition,two-dimensional principal component analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accidents,Autoencoder,Convolutional neural networks,Long short-term memory,Monotonic attention,Traffic prediction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Ethyl-3-methylimdazolium acetate,Biorefinery,Inorganic salts,Lignocellulosic biomass,pretreatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
active antenna,amplifier,broadband,heterojunction bipolar transistor,low-noise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
channel polarization,polar codes,self-learning software tool,successive cancellation decoder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangkok rapid transit,Queuing Theory,Simulation Model,software tool,train ticket system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bootstrap method,Eurodollar futures options,Implied volatility,Market efficiency,Variance bound test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bio-based benzoxazine,Composites,Multiwalled carbon nanotubes,NIR actuation,Renewable materials,Shape memory polymers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
galaxies active,galaxies evolution,galaxies formation,galaxies high-redshift,galaxies Starburst,infrared galaxies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Competitiveness,Diffusion,Evolution,IFAC,Management accounting practices,Value creation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ascorbate,Bactericidal synergy,Ceftrixone,Pharmacologic dose,S. Aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aging population,Bayesian MCMC,Diabetes,Mortality,Population dynamic model,Reporting,Screening,Undiagnosed diabetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hadron-Hadron scattering (experiments),Supersymmetry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participation,Purchase intention,Social identity theory,Spectatorship,Sports consumers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung cancer,Prognostic factors,Survival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drug eluting stent (DES),Percutaneous coronary intervention (PCI),Unprotected left main coronary artery disease (ULMCA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knee osteoarthritis,Platelet rich plasma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adverse events,Communication defects,Communication errors,Communication failure,Communication mishaps,Ineffective communication,PAAd Thai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alveolar Process,Cone-Beam Computed Tomography,Maxilla,Tooth Root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18S rRNA,Bartonella spp,Cattle louse,GltA,RpoB,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer-assisted surgery,Minimally invasive surgical procedures,Pedicle screws,Spinal fusion,Spondylosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
end-of-life care,gynecologic cancer,gynecologic oncology,palliative care,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hadron-Hadron scattering (experiments),Tau Physics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1G physical model,Composite materials,Deformation,Geosynthetics,Particle image velocimetry,Slope stabilisation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crassostrea,Escherichia coli,Estuarine water,Fecal contamination,Heavy metal contamination,Log-transformation,Salmonella,Shigella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cisplatin,Nerve,Neuropathy,Pericyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
explosive opening,Mucuna macrocarpa,non-flying mammal,pollination,tropical Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antioxidant activity,Bioactive compound content,Centrifugal juicing,Cold-pressed juicing,Food science,Home-refrigerated storage,Physicochemical properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gasification,Multi-functional material,Sorption-enhanced water-gas shift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astaxanthin,Canthaxanthin,Carotenoids,Coelastrum,Lutein,Microalgae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bile salt hydrolase,Cholesterol assimilation,Lactic acid bacteria.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biofuel,Catalytic cracking,Coal fly ash,Kinetic study,Waste chicken fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CaSO4,Chemical looping combustion,Fe2O3,Fluidized bed reactor,Oxygen carrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CaSO4,Chemical-looping combustion,Fixed-bed reactor,MgO,Oxygen carrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chickens,genetic characterization,reticuloendotheliosis virus,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adherence,adolescents,behavioral risk,HIV,stigma,viral load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterovirus,Inactivated polio vaccine,Poliovirus,Stool,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amino quinoline,Fluorescent sensor,Iron(III) ion,Mercury(II) ion,Oxazolidinone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inflammatory arthritis,Interleukin-34,Knee osteoarthritis,Rheumatoid arthritis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anterior maxilla,CBCT,Cortical bone thickness,Vertical skeletal pattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core–shell polymers,Dye sensitized solar cells (DSSCs),Natural rubber,Ozonolysis,Polymer electrolyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apoptosis,Breast cancer cell lines,Frullanolide,Natural compounds,Sesquiterpene lactone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binding behaviour,Gas chromatography–mass spectroscopy,Selectivity,Silica hydride phases,Zeta potential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accuracy,computer-assisted surgery,dental implant,navigation,stereolithography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apnea–hypopnea index (AHI),BMD/TBS,Gender,Menopausal status,Obstructive sleep apnea,Type 2 diabetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adenotonsillectomy,Apert,Craniosynostosis,Crouzon,Pfeiffer,Sleep apnea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melanin inhibition,Saussurea lappa,Sesquiterpene lactones,Structure-activity relationship,α-Cyclocostunolide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bone scaffold,Chitosan scaffold,Chitosan whisker,Hydroxyapatite,Thiol-maleimide Click reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bmp,cusp,K14,Noggin,Tooth development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angiogenesis,Curcuma longa,Curcumin,Human umbilical vein endothelial cells,Tubulogenesis,Vascular endothelial growth factor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cadalene,Euphane,Euphorbia tirucalli L.,Euphorbiaceae,Sesquiterpene,Tirucallane,Triterpenes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isoform-specific antibody,Progesterone receptor isoforms A and B,Pulmonary neuroendocrine cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alginate,Bacterial cellulose,Chitosan,Copper (II) sulfate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bone-like dentin,Collagen defect,Dentinogenesis imperfecta,Joint laxity,Skeletal fragility,Skin hypermobility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gamma transmission,Industrial computed tomography,Nozzle inspection,On-line inspection,Vessel inspection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cytotoxicity,Dalbergia velutina,Veluchalcones A and B,Veluisoflavones A and B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antioxidant,Catechol,Diabetes mellitus,Furofuran lignan,Glucosidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average daily weight gain,Colostrum,Newborn traits,Piglet mortality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigenic differences,Pythium insidiosum,Serological diagnosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bone regeneration,hyaluronic acid hydrogels,mesenchymal stem cells,osteogenesis,polyethylene glycol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,Prevalence,Protein C deficiency,Protein S deficiency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bio-oil,Hydrodeoxygenation,Napier grass,Ni2P/C,Pyrolysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doping,electrical conductivity,poly(N-methylaniline),surfactant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noncommunicable diseases,pharmacogenomics,precision medicine,precision oncology,rare diseases,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model,Normal tissue complication probability (NTCP),Radiation-induced liver disease (RILD),Treatment selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca–Mg–Al mixed oxides,Diglycerols,Etherification,Glycerol,Layered double hydroxides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Follicular penetration,Nanoparticles,Retinaldehyde,Tape stripping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asunaprevir resistance,HCV NS3/4A protease,Molecular dynamics simulation,Principal component analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aflatoxins,brown rice,Near infrared spectroscopy,partial least squares regression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmentally assisted cracking,Fractography,Fracture mechanisms,Intergranular fracture,Microstructures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entamoeba nuttalli,Genotyping,Long-tailed macaque,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dipterocarp,parasitoid,pest,seed predation,Tephritidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aromatic hydrocarbon,Bio-oil,Catalytic upgrading,Fast pyrolysis,High alumina zeolite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNA methylation,Immune,inflammation,Methamphetamine,Paranoia,Schizophrenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbents,Antimicrobial activities,Cleistocalyx nervosum var. paniala,Fresh-cut cantaloupe,Seed extract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
difference-in-differences,malaria,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Continuous venovenous hemofiltration,Hemoperfusion,Meropenem,Polymyxin B immobilized cartridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colostrum,Farrowing,Immunoglobulin,Piglet,Sow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciprofloxacin,High anatase crystallinity,Mesoporous material,Nitrogen doping concentration,OH radical,Urea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin Questionnaire,Obstructive sleep apnea,Preeclampsia–eclampsia,Pregnancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMI,DNA methylation,Immune,Inflammation,Methamphetamine,Paranoia,Schizophrenia,Sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mixed-methods research,quality of life,Spinal cord injury,Thai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cohesive-frictional soils,Lower bound,Opening,Stability,Underground walls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measurement,Microtattoo,Non-invasive,Skin laxity,Skin tightening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bone tissue engineering,Gentamicin sulfate,PLLA scaffold,Sericin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
